id,city,state,attraction,category,latitude,longitude,visit_date,season,traveler_type,duration_days,rating,sentiment_label,sentiment_score,safety_score,cleanliness_score,crowd_level,cost_bucket,weather_at_visit,had_scam,had_emergency,emergency_services_nearby,review_text
1,Cherrapunji,Meghalaya,Living Root Bridges,Nature,25.2841,91.7305,2025-05-10,Summer,Solo,7,4.6,Positive,0.401,10,7,High,Budget,Cloudy,0,0,Hospitals:12;Police:3,Visited Living Root Bridges in Cherrapunji as a Solo traveler during Summer. The trip lasted 7 days. I transport was convenient. Weather was Cloudy and crowd level was High. Overall rating 4.6/5.
2,Kolkata,West Bengal,Victoria Memorial,City,22.5726,88.3639,2023-10-04,Autumn,Solo,1,3.5,Neutral,0.06,3,5,High,Budget,Windy,0,0,Hospitals:13;Police:4,Visited Victoria Memorial in Kolkata as a Solo traveler during Autumn. The trip lasted 1 days. I nothing extraordinary. Weather was Windy and crowd level was High. Overall rating 3.5/5.
3,Bhopal,Madhya Pradesh,Upper Lake,City,23.2599,77.4126,2024-07-16,Monsoon,Business,4,5.0,Positive,0.695,7,5,Low,Mid-range,Sunny,0,0,Hospitals:11;Police:3,Visited Upper Lake in Bhopal as a Business traveler during Monsoon. The trip lasted 4 days. I scenic views were breathtaking. Weather was Sunny and crowd level was Low. Overall rating 5.0/5.
4,Jaipur,Rajasthan,Hawa Mahal,Heritage,26.9124,75.7873,2023-07-25,Monsoon,Couple,1,4.0,Positive,0.468,4,9,Medium,Mid-range,Cold,0,0,Hospitals:8;Police:7,Visited Hawa Mahal in Jaipur as a Couple traveler during Monsoon. The trip lasted 1 days. I loved the food and culture. Weather was Cold and crowd level was Medium. Overall rating 4.0/5.
5,Guwahati,Assam,Kamakhya Temple,City,26.1445,91.7362,2025-03-26,Summer,Business,7,3.9,Neutral,-0.041,6,6,Medium,Mid-range,Windy,0,0,Hospitals:12;Police:2,Visited Kamakhya Temple in Guwahati as a Business traveler during Summer. The trip lasted 7 days. I crowd was manageable. Weather was Windy and crowd level was Medium. Overall rating 3.9/5.
6,Kargil,Ladakh,Mulbekh,Mountain,34.5563,76.1269,2024-08-15,Monsoon,Business,3,4.6,Positive,0.814,8,7,High,Luxury,Cloudy,0,0,Hospitals:7;Police:2,Visited Mulbekh in Kargil as a Business traveler during Monsoon. The trip lasted 3 days. I scenic views were breathtaking. Weather was Cloudy and crowd level was High. Overall rating 4.6/5.
7,Ahmedabad,Gujarat,Kankaria Lake,City,23.0225,72.5714,2025-03-15,Summer,Family,3,2.4,Negative,-0.632,8,5,Medium,Budget,Cloudy,0,0,Hospitals:11;Police:1,Visited Kankaria Lake in Ahmedabad as a Family traveler during Summer. The trip lasted 3 days. I faced issues with crowding. Weather was Cloudy and crowd level was Medium. Overall rating 2.4/5.
8,Mount Abu,Rajasthan,Nakki Lake,Hill Station,24.5925,72.7156,2025-05-13,Summer,Family,7,3.7,Neutral,0.04,10,8,Low,Mid-range,Cloudy,0,0,Hospitals:8;Police:6,Visited Nakki Lake in Mount Abu as a Family traveler during Summer. The trip lasted 7 days. I basic amenities available. Weather was Cloudy and crowd level was Low. Overall rating 3.7/5.
9,Amritsar,Punjab,Jallianwala Bagh,Spiritual,31.634,74.8723,2024-07-31,Monsoon,Solo,2,4.5,Positive,0.866,9,5,High,Mid-range,Humid,0,0,Hospitals:10;Police:2,Visited Jallianwala Bagh in Amritsar as a Solo traveler during Monsoon. The trip lasted 2 days. I found the locals very helpful. Weather was Humid and crowd level was High. Overall rating 4.5/5.
10,Mysuru,Karnataka,Brindavan Gardens,Heritage,12.2958,76.6394,2024-09-24,Monsoon,Family,4,3.7,Neutral,-0.009,5,5,Medium,Mid-range,Rainy,0,0,Hospitals:5;Police:3,Visited Brindavan Gardens in Mysuru as a Family traveler during Monsoon. The trip lasted 4 days. I had to wait a bit. Weather was Rainy and crowd level was Medium. Overall rating 3.7/5.
